Ward code,Ward name,Borough,Extent ,Rank of extent (within London),Income Scale,Rank of income scale (within London),Employment Scale,Rank of employment scale (within London),Average Score,Rank of average score (within London),Average Rank,Rank of average rank (within London),Highest SOA rank (national),Highest SOA rank (London),Number of SOAs in ward,In worst 5percent,In worst 1percent,In worst 20percent,Above average (in worst 50percent),IDACI,Rank of IDACI (within London),IDAOPI,Rank of IDAOPI (within London)
00ATGD,Feltham North,Hounslow,3.38001273074475E-02,407,1844.62826576829,388,584.876279532909,413,24.8458838933293,303,10879.7231063017,278,8132,406,6,0,0,0,6,0.32879221959055,302,0.212424963662939,363
00ATGE,Feltham West,Hounslow,0.177786240162478,289,2710.20618666708,259,657.20290081948,373,26.7339967561573,274,10956.9136836761,283,2374,135,8,0,1,1,6,0.383600911459288,236,0.215351589400178,356
00ATGF,Hanworth,Hounslow,0.455160744500846,164,2883.06370867789,224,770.925059683621,311,33.1667784590272,179,7749.16638465877,194,2874,167,7,0,1,3,7,0.434548247310882,178,0.216187468604416,353
00ATGG,Hanworth Park,Hounslow,0.104292623941959,338,1733.2500390932,402,513.187044292688,456,22.7219927037065,351,12927.5063482467,343,4811,276,7,0,0,1,4,0.301804157931071,326,0.172994122459184,440
00ATGH,Heston Central,Hounslow,5.87117212249208E-02,377,2081.77636536956,343,698.470435358584,346,23.3212825796295,339,12086.4894403379,321,6824,369,7,0,0,0,6,0.274653382352373,360,0.269971966495576,248
00ATGJ,Heston East,Hounslow,6.29854368932039E-02,370,2135.02698138356,335,657.656216517091,372,21.7732242390819,362,13253.3222761597,356,6700,362,7,0,0,0,5,0.309786755385216,320,0.237049371991706,317
00ATGK,Heston West,Hounslow,0.311276315789474,220,3114.0657812655,186,795.618561051786,293,29.1819676188419,239,9374.64815789474,239,4892,284,7,0,0,3,6,0.396780422418424,218,0.297214363577589,202
00ATGL,Hounslow Central,Hounslow,0,449,1954.58130387962,363,694.365325000137,348,18.9269221438665,413,15357.1385844749,407,10400,481,7,0,0,0,4,0.249405072893088,395,0.275418650365509,237
00ATGM,Hounslow Heath,Hounslow,5.55897435897436E-02,379,2484.08916592598,287,733.893895156682,326,24.2663770382221,316,11296.5076923077,294,7108,376,7,0,0,0,7,0.315119422125964,318,0.331842300675859,150
00ATGN,Hounslow South,Hounslow,0,449,993.560029506683,524,412.315175782889,512,13.1628501460863,530,20184.7460869565,515,17546,583,7,0,0,0,0,0.129665934297813,527,0.154263970888821,469
00ATGP,Hounslow West,Hounslow,6.59760087241003E-03,443,2042.95387284458,350,690.798599302769,351,24.0745616551964,318,11277.1147764449,291,9261,442,7,0,0,0,7,0.273930732482158,362,0.322137302676275,161
00ATGQ,Isleworth,Hounslow,0.266652566271856,237,2715.25550401211,258,794.461304359138,295,27.2432356399799,263,10974.0628877609,284,2377,136,7,0,1,2,6,0.463513565914972,141,0.277473607207039,233
00ATGR,Osterley and Spring Grove,Hounslow,0,449,948.558805458248,530,408.839875135571,518,15.1745305112141,489,18313.7483443709,471,12322,516,7,0,0,0,1,0.139714561331032,516,0.125031437018728,531
00ATGS,Syon,Hounslow,0.176030017657446,292,2251.35512823612,318,693.926145851612,349,25.8190123340254,287,11282.2619187758,293,4992,290,6,0,0,1,5,0.370023715717162,259,0.27280799339908,242
00ATGT,Turnham Green,Hounslow,0,449,1162.98828513175,492,459.710390523076,488,16.8064977802511,444,16944.6279276608,438,12071,511,7,0,0,0,3,0.19762510819787,453,0.186927862714658,409
00AUFX,Barnsbury,Islington,0.442763334226749,168,2869.24774208665,228,1046.96231807023,158,35.897964165697,137,6603.74993299384,150,1779,93,7,0,2,2,7,0.477271057374409,126,0.385603440267371,89
00AUFY,Bunhill,Islington,0.549047128508885,129,3313.8563516736,163,1046.6128705591,159,35.4423750745492,153,6605.82513520474,151,3098,181,7,0,1,5,7,0.620005754435935,26,0.321227414858498,164
00AUFZ,Caledonian,Islington,0.571121235130347,122,3624.59254802763,121,1163.6249749884,111,37.3270223294593,120,5999.64414072387,122,1403,61,8,1,1,6,8,0.588744173172615,38,0.432435203896322,44
00AUGA,Canonbury,Islington,0.649297423887588,92,3453.10897198319,146,1135.75593667477,120,42.5730605069592,64,4773.14929742389,77,545,8,7,1,3,4,7,0.600036297081771,30,0.347514948047015,130
00AUGB,Clerkenwell,Islington,0.44146540027137,169,2505.67944301665,285,1055.85944279283,154,32.7481053449406,189,7612.70854816825,185,4582,268,7,0,0,4,7,0.505930882368128,98,0.308963398794922,186
00AUGC,Finsbury Park,Islington,0.771820477502296,63,4520.5033082664,50,1578.05768060312,9,47.1025108901375,29,3699.94674012856,39,755,20,8,3,4,7,8,0.596419331396824,33,0.518066283989057,11
00AUGD,Highbury East,Islington,0.394619799139168,187,2164.51653367281,329,881.879433073103,244,32.9101910967396,186,7734.03644189383,193,2367,134,7,0,1,2,7,0.327689872320854,303,0.315862606767573,174
00AUGE,Highbury West,Islington,0.467031480570585,160,3171.91598774493,177,1242.17094106972,77,34.5043158031601,164,7026.4458927693,162,2811,162,8,0,1,3,8,0.420904269697223,195,0.396338815686321,76
00AUGF,Hillrise,Islington,0.634908171413362,98,3524.71679265797,137,1303.85362585634,52,40.4503364720369,81,5060.80330050572,86,1185,46,8,1,3,5,8,0.52793385950477,76,0.399081493914127,69
00AUGG,Holloway,Islington,0.866544210793007,30,3641.20229928195,120,1387.15138918161,33,44.6231249279392,42,3616.6290853813,36,1531,73,7,1,2,7,7,0.597092666738742,32,0.413857097349742,56
00AUGH,Junction,Islington,0.650026602819899,91,2936.45699849725,215,1263.78535075486,64,39.3462308186995,93,5179.22638999734,91,1981,107,7,0,1,5,7,0.459790585519577,143,0.389157136552755,88
00AUGJ,Mildmay,Islington,0.777620143149284,61,3921.43261814117,101,1258.13911601901,68,42.984126717035,59,4123.41180981595,56,1330,56,8,1,3,8,8,0.584442421651635,42,0.449720757010302,31
00AUGK,St George's,Islington,0.562662942271881,127,3046.58441653848,195,1193.01334494352,96,37.8188446463027,114,5904.11146581537,119,2007,110,7,0,2,3,7,0.465979290866776,139,0.346288464006747,132
00AUGL,St Mary's,Islington,0.491474147414741,154,2878.19567799568,225,1075.46422266215,143,35.6341719978845,145,6377.57865786579,141,2396,139,7,0,1,4,7,0.514488072225333,90,0.329409471836435,155
00AUGM,St Peter's,Islington,0.508724202626642,148,2952.30972477794,211,1002.44047920406,183,37.7855851079593,115,6189.57491289199,133,1150,44,7,1,3,4,7,0.502247469568253,99,0.330091547213822,152
00AUGN,Tollington,Islington,0.865002360717658,31,3993.68811178207,97,1559.65451569855,11,43.9536295612541,50,3742.2769121813,40,1527,72,8,1,3,8,8,0.527297632982496,78,0.440643391239324,39
00AWFY,Abingdon,Kensington & Chelsea,2.77713792110567E-02,413,827.220223937184,558,375.381731489673,534,16.8473320927223,442,17264.2375467895,449,8565,420,6,0,0,0,2,0.107952480319172,553,0.128590087758909,521
00AWFZ,Brompton,Kensington & Chelsea,0,449,522.507366321981,610,215.193483263254,617,15.347156886118,482,18172.2781998831,469,11555,503,6,0,0,0,1,9.43588487404798E-02,577,8.28411038287661E-02,610
00AWGA,Campden,Kensington & Chelsea,0,449,346.966818345711,621,195.440750386566,618,13.4934755300547,522,19804.6705399863,506,17030,579,5,0,0,0,0,3.34715397681954E-02,625,9.21742087795667E-02,598
00AWGB,Colville,Kensington & Chelsea,0.53279532967033,136,1934.03040587157,374,807.531841769814,289,35.0977893805766,157,6682.81971153846,153,4002,235,5,0,0,3,5,0.373298311514013,251,0.364121485491951,111
00AWGC,Courtfield,Kensington & Chelsea,0,449,480.358690403402,615,288.652089290321,591,15.5015444318778,480,18108.3383897316,466,12110,512,6,0,0,0,1,5.34941171167939E-02,622,0.117918774079193,544
00AWGD,Cremorne,Kensington & Chelsea,0.26047014710124,243,1949.63965545595,366,726.388065129519,330,28.7349557604266,245,9602.95961926738,244,4218,248,6,0,0,1,5,0.292208481816325,340,0.244809075405723,302
00AWGE,Earl's Court,Kensington & Chelsea,0.196487477092242,281,1485.46661670506,438,771.437805555761,310,28.0660008422907,249,9476.19700671961,242,6025,333,6,0,0,1,6,0.255025034489697,387,0.258029471370909,264
00AWGF,Golborne,Kensington & Chelsea,0.992605421686747,5,3578.73868507147,131,1278.71110658348,59,47.9253335389746,24,2745.25331325301,16,1522,71,6,1,5,6,6,0.490099654086237,108,0.400465933680534,67
00AWGG,Hans Town,Kensington & Chelsea,1.62758235622557E-02,432,839.177083756775,554,313.840462365188,571,16.0491111109471,466,18081.8230039084,465,8827,429,6,0,0,0,2,0.140903027325358,514,9.26798059827504E-02,595
00AWGH,Holland,Kensington & Chelsea,6.14955053119041E-02,373,1036.617821211,513,378.207381192595,532,18.6437753871169,418,16495.6368836829,426,7248,382,6,0,0,0,3,0.16656728531234,478,0.112136234521983,560
00AWGJ,Norland,Kensington & Chelsea,0.229546165884194,252,1599.64923907444,425,577.078203510493,418,25.9470246119492,284,11894.2053208138,316,2592,154,6,0,1,1,5,0.236791441840088,410,0.228976706403201,329
00AWGK,Notting Barns,Kensington & Chelsea,0.707287134866377,78,3168.87863919139,179,982.147762298584,197,40.4331667232099,82,4867.8828464885,80,2004,109,6,0,2,5,6,0.473429884510429,131,0.394714996158596,80
00AWGL,Pembridge,Kensington & Chelsea,0,449,650.474212959409,593,316.686605617404,568,18.7105780455593,417,15338.3026447941,406,10817,487,5,0,0,0,3,0.106385377080035,555,0.139341838531575,506
00AWGM,Queen's Gate,Kensington & Chelsea,0,449,333.368329038844,622,172.814826373011,621,12.938625329344,534,20408.2055925433,521,17888,585,6,0,0,0,0,3.27505152001594E-02,626,8.09872186757991E-02,612
00AWGN,Redcliffe,Kensington & Chelsea,0.126477541371158,322,882.848801929504,541,523.25346612744,450,22.1033731365236,359,13739.2401215805,369,5095,293,6,0,0,1,3,0.104579322710264,559,0.176600549264079,435
00AWGP,Royal Hospital,Kensington & Chelsea,0,449,504.366909200326,612,181.050237952732,620,13.9827986803488,509,19776.6689309975,503,13065,529,5,0,0,0,1,6.65849940534388E-02,610,0.102220375441565,580
00AWGQ,St Charles,Kensington & Chelsea,0.68779982232751,80,2979.8500585556,205,977.956021092832,203,38.8766824588431,100,5172.65975718093,90,3168,187,6,0,1,5,6,0.431231473133624,185,0.329973934447536,153
00AWGR,Stanley,Kensington & Chelsea,0,449,614.377578981221,598,230.260969935916,614,14.8878999801324,494,18779.5902215969,484,13041,528,5,0,0,0,1,0.106150226449208,557,0.123907514516271,537
00AXFX,Alexandra,Kingston upon Thames,0,449,689.738806452602,586,253.114532902837,604,9.54595005895804,583,24513.842306467,577,18316,589,6,0,0,0,0,0.112322132291927,545,8.66120873137719E-02,604
00AXFY,Berrylands,Kingston upon Thames,1.70678336980306E-02,430,883.132461464033,540,345.132162887603,551,13.9283201598346,510,20692.2860268834,527,8882,431,6,0,0,0,2,0.133204406900094,524,0.183212640891506,419
00AXFZ,Beverley,Kingston upon Thames,0,449,1005.059526667,519,383.775703042746,528,13.0622214447149,532,20867.5713434614,533,11793,507,6,0,0,0,1,0.146031622509224,499,0.138696488839659,507
00AXGA,Canbury,Kingston upon Thames,0,449,1040.83746831492,511,371.74813272804,538,11.9230544328342,540,22486.3217518248,547,10140,472,6,0,0,0,1,0.147009556377385,497,0.201640110512311,385
00AXGB,Chessington North and Hook,Kingston upon Thames,0,449,1040.78581751883,512,330.032914370298,557,14.2437956306838,503,19299.8360655738,495,14763,550,6,0,0,0,2,0.196359456648123,455,0.126369433258584,526
00AXGC,Chessington South,Kingston upon Thames,0,449,1004.25014812499,522,328.491357520223,558,14.2852984943226,502,19538.9259697957,496,11964,510,6,0,0,0,2,0.167285116750492,475,9.64085816716154E-02,589
00AXGD,Coombe Hill,Kingston upon Thames,0,449,996.220129519701,523,272.153964607045,599,11.9635354423523,539,22214.1262411348,545,11091,496,7,0,0,0,1,0.157961872608765,485,0.124776407750248,533
00AXGE,Coombe Vale,Kingston upon Thames,0,449,754.893928114325,574,244.342211449519,609,9.80414497151094,576,24455.4340557276,575,14166,544,6,0,0,0,1,0.109980859687829,550,0.117437930007776,548
00AXGF,Grove,Kingston upon Thames,0,449,873.757203552872,544,379.750135548413,531,16.6911142921111,449,17392.6532627866,451,9802,461,5,0,0,0,2,0.223259377497453,427,0.177060995967683,434
00AXGG,Norbiton,Kingston upon Thames,0.16622009569378,296,1996.07920669019,353,557.323411166668,429,24.2327951884536,317,12432.1502392344,331,3759,230,6,0,0,1,4,0.362207571905921,265,0.284837176415179,222
00AXGH,Old Malden,Kingston upon Thames,0,449,863.353560280055,546,280.965813539922,594,10.0129248014822,568,24157.7745535714,569,15100,556,6,0,0,0,1,0.150605586271635,491,9.36720039013749E-02,593
00AXGJ,St James,Kingston upon Thames,0,449,776.514248616993,568,266.673401411623,601,12.7794216429034,535,20693.1179435484,528,16582,574,6,0,0,0,0,0.115980046597647,540,0.12404235576402,535
00AXGK,St Mark's,Kingston upon Thames,0,449,534.547822907567,608,375.178032338619,535,13.8125308950984,513,19731.1945797808,501,12820,521,6,0,0,0,1,8.62444966940061E-02,589,0.118611753845822,543
00AXGL,Surbiton Hill,Kingston upon Thames,0,449,851.343648701906,549,340.816401952878,554,11.6478416372308,545,22058.5605761084,542,15873,566,7,0,0,0,1,0.150470773222901,492,0.12721389073687,523
00AXGM,Tolworth and Hook Rise,Kingston upon Thames,0,449,981.375708796084,526,345.666805040091,550,13.3271400649826,528,20222.6792509816,518,15159,557,6,0,0,0,1,0.146401741858007,498,0.136791643633374,511
00AXGN,Tudor,Kingston upon Thames,0,449,565.463541056961,603,238.575913611799,611,8.74074437596475,589,25576.9297259311,589,16976,577,6,0,0,0,0,9.12631624286958E-02,585,0.084065660449193,608
00AYFZ,Bishop's,Lambeth,0.425793650793651,178,1873.30228693038,381,740.593719184399,324,31.27543767041,209,8666.54497354497,224,4536,266,6,0,0,4,5,0.428681714173693,187,0.278805713222279,229
00AYGA,Brixton Hill,Lambeth,0.444142791127542,167,3169.65476793051,178,1205.68382627517,92,34.2987419302935,166,6773.38401109057,157,3059,178,8,0,1,3,8,0.445861378553751,165,0.363885114590327,113
00AYGB,Clapham Common,Lambeth,0.176867662753469,291,1785.02776837349,395,720.431081671268,333,27.6569662165362,257,9758.48986125934,248,6247,343,8,0,0,1,7,0.294360672943612,335,0.302979351427311,195
00AYGC,Clapham Town,Lambeth,0.433108596195521,173,2619.48281320184,271,1071.47500113398,146,34.1913690146785,167,7210.62388634722,169,2606,156,9,0,3,4,9,0.382524340751634,240,0.357439113485867,122
00AYGD,Coldharbour,Lambeth,0.87108894275592,29,5773.42946621776,10,1903.12929300964,2,46.3338622008378,32,3354.34402386724,28,1014,34,10,2,6,9,10,0.564470824896802,57,0.424570076575037,49
00AYGE,Ferndale,Lambeth,0.5240870641634,139,3448.4201226756,147,1360.37823135406,38,35.6096638261792,146,6524.99195378585,146,3479,209,9,0,0,5,9,0.446811262122981,164,0.392597881373594,84
00AYGF,Gipsy Hill,Lambeth,0.601136363636364,115,3587.50308796763,128,1254.50701339915,72,36.147689529468,133,6699.96280991736,154,3158,186,9,0,2,6,8,0.459712949831311,145,0.339008580434202,141
00AYGG,Herne Hill,Lambeth,0.429030023094688,174,2694.50914507359,261,1184.29816619307,101,33.2136016409612,178,7595.99745958429,182,2565,151,8,0,1,4,8,0.317522872167803,316,0.307343171866317,188
00AYGH,Knight's Hill,Lambeth,0.496549636803874,152,3342.52823352814,157,1157.71290133148,114,35.4498126688073,152,6991.70750605327,160,1572,76,9,1,2,5,9,0.420986032095693,194,0.302494397402614,196
00AYGJ,Larkhall,Lambeth,0.545103193146418,131,4147.22277371585,85,1394.89749815315,31,36.3957541657385,132,6077.49104361371,130,3176,188,9,0,1,5,9,0.470371484817665,136,0.367680529349072,106
00AYGK,Oval,Lambeth,0.610690396559962,109,3067.6478003338,190,1170.64656709135,108,37.6823941334206,116,5617.02197802198,107,3053,176,8,0,1,6,8,0.468878449575679,137,0.358109574749115,121
00AYGL,Prince's,Lambeth,0.575584255842558,120,3332.19539773464,158,1229.03357832134,85,37.2961260510547,121,5787.88044280443,115,2139,120,8,0,1,5,8,0.485120800565739,113,0.3154249142337,175
00AYGM,St Leonard's,Lambeth,0.399171842650104,186,2199.79409185052,324,997.765458695591,185,33.092470705139,181,7230.89001035197,170,3589,222,8,0,0,4,8,0.307487300842052,323,0.32560229389907,159
00AYGN,Stockwell,Lambeth,0.633083579569439,99,3919.45480298996,104,1244.49501413852,76,37.9858231292892,109,5464.21549176868,103,2844,165,9,0,1,6,9,0.439246090212528,173,0.358296599501891,120
00AYGP,Streatham Hill,Lambeth,0.272737430167598,233,2728.25750273466,255,1082.55602942035,141,30.0915541421901,227,8528.1287150838,220,5452,308,9,0,0,3,9,0.336171620240321,295,0.303730632815886,194
00AYGQ,Streatham South,Lambeth,0.205863746958637,274,2763.110644117,248,943.740303598344,214,29.3770911502142,235,8616.19732360097,223,6551,356,9,0,0,0,9,0.350585452309437,276,0.256411433874107,270
00AYGR,Streatham Wells,Lambeth,0.352488468074775,202,2785.2855964154,244,1010.55764796585,178,31.8817341640812,204,7935.58387958242,199,3250,191,8,0,0,3,8,0.411524455385939,201,0.345241404348804,134
00AYGS,Thornton,Lambeth,0.404661654135338,183,3020.99480389059,199,909.239568281919,231,32.1836440848826,195,8547.83684210526,221,2953,171,8,0,2,3,7,0.480557833859359,118,0.310122571670665,183
00AYGT,Thurlow Park,Lambeth,0.130329754601227,317,2096.65309229493,340,799.465650267899,292,25.6616095699416,290,11082.7676380368,286,6629,360,7,0,0,0,5,0.295063873461084,334,0.240069450951193,312
00AYGU,Tulse Hill,Lambeth,0.631710188356164,101,4288.23160667717,75,1446.66498526186,19,37.8377874861025,113,5708.25299657534,113,2445,141,9,0,2,7,9,0.548987495710942,65,0.351395341412162,127
00AYGW,Vassall,Lambeth,0.811921193232413,45,4348.8694050014,67,1572.97380296141,10,42.7516403818173,62,4102.32279608192,55,1681,87,9,0,3,8,9,0.517469805307431,87,0.396237955079414,77
00AZGD,Bellingham,Lewisham,0.608446088794926,110,4178.6266438365,81,1330.57232782245,45,37.6475484819795,117,5853.91627906977,117,1707,89,9,0,1,7,9,0.461298918851001,142,0.308818418960102,187
00AZGE,Blackheath,Lewisham,0.227703635526921,254,2565.61107402295,275,870.325588703156,248,26.9486606499593,267,10667.1661297745,273,3578,219,9,0,0,2,8,0.381392005550828,241,0.233571375197754,322
00AZGF,Brockley,Lewisham,0.298216362931369,225,3326.0842577666,160,1356.56015291065,39,31.3755573913911,208,7711.65180302443,191,5799,325,9,0,0,2,9,0.382723910507114,239,0.333078991984115,148
00AZGG,Catford South,Lewisham,0,449,2053.57787699997,349,890.46845921874,238,21.4598164984572,372,13133.9645045426,351,9452,449,9,0,0,0,8,0.204958648149318,445,0.185963389601049,414
00AZGH,Crofton Park,Lewisham,9.16738105443635E-02,343,2313.82473032176,307,1007.27717900276,182,24.3551350698622,312,11439.7983283326,302,6569,357,9,0,0,0,9,0.248146235024276,397,0.256132383553878,272
00AZGJ,Downham,Lewisham,0.618423298485172,105,4232.87286284566,78,1173.71537044644,107,37.2707206411913,122,5665.52720290164,110,3890,233,10,0,0,7,10,0.449796752008525,156,0.291929001886458,210
00AZGK,Evelyn,Lewisham,0.725807141329912,73,5031.04670798779,30,1311.06370215118,49,40.6696511485369,80,4812.36626042335,79,1165,45,10,1,3,9,10,0.538355881593545,70,0.403555299735925,66
00AZGL,Forest Hill,Lewisham,0.189657156005522,287,2675.89017753303,264,969.260710537434,208,27.8462908029885,250,9625.98159226875,245,5281,301,9,0,0,2,9,0.340524597163421,285,0.230693960615567,326
00AZGM,Grove Park,Lewisham,0.263524945770065,240,2841.79039616883,234,974.49053786695,205,27.2658980661256,262,10585.1930585683,269,4866,281,9,0,0,2,7,0.338617619749378,289,0.225531934792625,333
00AZGN,Ladywell,Lewisham,1.29581716257007E-02,437,2399.27509742975,297,972.671169564128,207,23.6535957376728,329,11592.2729624838,307,9023,436,8,0,0,0,8,0.286507589761569,350,0.246721395322318,298
00AZGP,Lee Green,Lewisham,7.73874086300401E-02,361,2036.31996157765,351,845.208498470485,266,23.1963742336443,341,12359.9417590191,329,7652,390,8,0,0,0,6,0.243312349611599,403,0.219501010821954,346
00AZGQ,Lewisham Central,Lewisham,0.491534280936455,153,3416.71035848558,150,1408.69229096174,28,35.0394462937097,158,6730.3141722408,155,2608,157,9,0,2,5,9,0.413797942096766,199,0.333763760416523,146
00AZGR,New Cross,Lewisham,0.58625859434683,118,4317.80156439543,73,1435.73483034968,22,36.8335668809365,127,5773.63273491215,114,2849,166,10,0,1,9,10,0.455208691425044,149,0.415867704735476,55
00AZGS,Perry Vale,Lewisham,0.333849048714196,214,3050.24687884748,193,1121.52281349152,129,30.5524032875107,223,8718.82730503868,225,3314,200,10,0,0,3,10,0.320945088120289,311,0.26565549352672,250
00AZGT,Rushey Green,Lewisham,0.47677538746241,158,3013.56807424128,202,1330.24449171871,46,35.5328831744365,150,6413.93476752255,142,2577,153,9,0,1,3,9,0.340100105449879,286,0.278077737232785,231
